Participant,UnityTime,CurrentSession,ConstrictedSize,DilatedSize,CurrentStimuli,StimuliStartSize,StimuliEndSize,StimuliPupilSize,PupilSizeChanging,PupilDataActive,LeftPupilSize,RightPupilSize,Frame
2,13:20:58:995,1,9,1,Human,1,0,0,False,False,0,0,108
2,13:20:59:005,1,9,1,Human,1,0,0,False,False,0,0,109
2,13:20:59:015,1,9,1,Human,1,0,0,False,False,0,0,110
2,13:20:59:026,1,9,1,Human,1,0,0,False,False,0,0,111
2,13:20:59:038,1,9,1,Human,1,0,0,False,False,0,0,112
2,13:20:59:049,1,9,1,Human,1,0,0,False,False,0,0,113
2,13:20:59:061,1,9,1,Human,1,0,0,False,False,0,0,114
2,13:20:59:071,1,9,1,Human,1,0,0,False,False,0,0,115
2,13:20:59:083,1,9,1,Human,1,0,0,False,False,0,0,116
2,13:20:59:093,1,9,1,Human,1,0,0,False,False,0,0,117
2,13:20:59:104,1,9,1,Human,1,0,0,False,False,0,0,118
2,13:20:59:116,1,9,1,Human,1,0,0,False,False,0,0,119
2,13:20:59:126,1,9,1,Human,1,0,0,False,False,0,0,120
2,13:20:59:138,1,9,1,Human,1,0,0,False,False,0,0,121
2,13:20:59:149,1,9,1,Human,1,0,0,False,False,0,0,122
2,13:20:59:160,1,9,1,Human,1,0,0,False,False,0,0,123
2,13:20:59:171,1,9,1,Human,1,0,0,False,False,0,0,124
2,13:20:59:184,1,9,1,Human,1,0,0,False,False,0,0,125
2,13:20:59:194,1,9,1,Human,1,0,0,False,False,0,0,126
2,13:20:59:208,1,9,1,Human,1,0,0,False,False,0,0,127
2,13:20:59:217,1,9,1,Human,1,0,0,False,False,0,0,128
2,13:20:59:226,1,9,1,Human,1,0,0,False,False,0,0,129
2,13:20:59:236,1,9,1,Human,1,0,0,False,False,0,0,130
2,13:20:59:248,1,9,1,Human,1,0,0,False,False,0,0,131
2,13:20:59:259,1,9,1,Human,1,0,0,False,False,0,0,132
2,13:20:59:270,1,9,1,Human,1,0,0,False,False,0,0,133
2,13:20:59:281,1,9,1,Human,1,0,0,False,False,0,0,134
2,13:20:59:292,1,9,1,Human,1,0,0,False,False,0,0,135
2,13:20:59:304,1,9,1,Human,1,0,0,False,False,0,0,136
2,13:20:59:314,1,9,1,Human,1,0,0,False,False,0,0,137
2,13:20:59:325,1,9,1,Human,1,0,0,False,False,0,0,138
2,13:20:59:336,1,9,1,Human,1,0,0,False,False,0,0,139
2,13:20:59:348,1,9,1,Human,1,0,0,False,False,0,0,140
2,13:20:59:359,1,9,1,Human,1,0,0,False,False,0,0,141
2,13:20:59:370,1,9,1,Human,1,0,0,False,False,0,0,142
2,13:20:59:382,1,9,1,Human,1,0,0,False,False,0,0,143
2,13:20:59:392,1,9,1,Human,1,0,0,False,False,0,0,144
2,13:20:59:406,1,9,1,Human,1,0,0,False,False,0,0,145
2,13:20:59:415,1,9,1,Human,1,0,0,False,False,0,0,146
2,13:20:59:425,1,9,1,Human,1,0,0,False,False,0,0,147
